PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
4478;3643092;Phengaris teleius;modrásek oèkovanı;Motıli;Vojtíšek Marek;20060726;20060726;;973059;Údolí ticha2;6049;Høedle u Zdic;-783105;-1057407;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;2;0;jedinci;;;;;;0;;lokalita Údolí ticha - CHKO Køivoklátsko, obec Bøezovápás nivních luk na pravém bøehu Paøezového potoka táhnoucí se v délce 1,5 km proti proudu od Stroupínského mlına;rozlohou nejvìtší, v její SZ èásti je krvavec hojnı, dále po proudu je louka sušší a jeho vıskyt øídne, èemu odpovídá i koncentrace modráskù. Letos byly rostliny na 2/3 plochy v dùsledku horkého a suchého poèasí znaèné uvedlé a bez modráskù (hl oproti r.2005);;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;311;0;20070809
4479;3643091;Phengaris teleius;modrásek oèkovanı;Motıli;Vojtíšek Marek;20060726;20060726;;985524;Údolí ticha1;6049;Bøezová u Hoøovic;-783333;-1057109;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;2;0;jedinci;;;;;;0;;lokalita Údolí ticha - CHKO Køivoklátsko, obec Bøezovápás nivních luk na pravém bøehu Paøezového potoka táhnoucí se v délce 1,5 km proti proudu od Stroupínského mlına;svaitá louka vymezená pásy køovin, z ploviny seèená (krvavec dominantní), z poloviny neseèenou, zarùstající bodláèím (krvavec hojnı);;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;320;0;20070809
4480;3643056;Phengaris teleius;modrásek oèkovanı;Motıli;Hrouzek Martin;20060725;20060725;;982190;NPR Èertoryje;7170;Knìdub;-542796;-1204579;HROUZEK M. (2006) Monitoring druhù Maculinea nausithous a Maculinea telejus na lokalitì NPR Èertoryje (CHKO Bílé Karpaty) v roce 2006.;0;40;0;jedinci;;;;;;0;nejménì 40 ex., doporuèení: zajistit ve velmi blízké budoucnosti skuteèné mozaikovité kosení celého území, pouze na 3 menších plochách (kadá velikosti 2 ha) s koncentrovanım vıskytem Maculinea nausithous a telejus provádìt kosení mimo dobu letu motılù r. Maculinea ( buï do 15. èervna nebo po 15. záøí), neupøednostòovat tyto druhy Maculineí, ale zamìøit se na skuteènì maloplošnı management rozdìlenı v èase i prostoru (kadoroènì ponechávat 1/5 všech ploch nepokosenou);NPR Èertoryje (CHKO Bílé Karpaty), kolonie 3, temeno kóty Èertoryje, lokalita podél zelené turistické trasy;relativní poèetnost krvavce totenu sporadická a bìná (cca 1 rostlina na 1 m2), plocha cca 2 ha,;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;Jedková Petra;1;;;Garantováno;;SO;HD II, HD IV;VU;;;443;0;20070628
4481;3643054;Phengaris teleius;modrásek oèkovanı;Motıli;Hrouzek Martin;20060725;20060725;;984233;NPR Èertoryje2;7170;Hrubá Vrbka;-542973;-1205290;HROUZEK M. (2006) Monitoring druhù Maculinea nausithous a Maculinea telejus na lokalitì NPR Èertoryje (CHKO Bílé Karpaty) v roce 2006.;0;6;0;jedinci;;;;;;0;doporuèení: zajistit ve velmi blízké budoucnosti skuteèné mozaikovité kosení celého území, pouze na 3 menších plochách (kadá velikosti 2 ha) s koncentrovanım vıskytem Maculinea nausithous a telejus provádìt kosení mimo dobu letu motılù r. Maculinea ( buï do 15. èervna nebo po 15. záøí), neupøednostòovat tyto druhy Maculineí, ale zamìøit se na skuteènì maloplošnı management rozdìlenı v èase i prostoru (kadoroènì ponechávat 1/5 všech ploch nepokosenou);NPR Èertoryje (CHKO Bílé Karpaty), kolonie 2;relativní poèetnost krvavce totenu sporadická a bìná (cca 1 rostlina na 1 m2), vlhká louka na mírné stráni na pravém bøehu Járkovce, vıška travního porostu 0,5 - 1 m, køovinnı nálet, pravdìpodobnì nekosena pravidelnì, plocha cca 11 ha;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;Jedková Petra;1;;;Garantováno;;SO;HD II, HD IV;VU;;;365;0;20070628
4482;3643053;Phengaris teleius;modrásek oèkovanı;Motıli;Hrouzek Martin;20060725;20060725;;972898;NPR Èertoryje1;7170;Knìdub;-543415;-1204750;HROUZEK M. (2006) Monitoring druhù Maculinea nausithous a Maculinea telejus na lokalitì NPR Èertoryje (CHKO Bílé Karpaty) v roce 2006.;0;5;0;jedinci;;;;;;0;doporuèení: zajistit ve velmi blízké budoucnosti skuteèné mozaikovité kosení celého území, pouze na 3 menších plochách (kadá velikosti 2 ha) s koncentrovanım vıskytem Maculinea nausithous a telejus provádìt kosení mimo dobu letu motılù r. Maculinea ( buï do 15. èervna nebo po 15. záøí), neupøednostòovat tyto druhy Maculineí, ale zamìøit se na skuteènì maloplošnı management rozdìlenı v èase i prostoru (kadoroènì ponechávat 1/5 všech ploch nepokosenou);NPR Èertoryje (CHKO Bílé Karpaty), kolonie 1;relativní poèetnost krvavce totenu sporadická a bìná (cca 1 rostlina na 1 m2), vllhèí partie s prameništìm a roztroušenım krvavcem, plocha asi 0,1 - 0,2 ha;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;Jedková Petra;1;;;Garantováno;;SO;HD II, HD IV;VU;;;371;0;20070628
4483;3643025;Phengaris teleius;modrásek oèkovanı;Motıli;Vrabec Vladimír;20060723;20060723;;988086;NPR Novozámeckı ryb.;5353;Zahrádky u Èeské Lípy;-725448;-984578;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;3;0;jedinci;;;;;;0;3F<BR>pozorován pøímo v osadì Karasy a potom vıchodním smìrem na rozlehlıch loukách po pravé stranì silnièky vedoucí od hráze rybníka pøes osadu Karasy dál k vıchodu, pozorovány byly jednotlivì exempláøe celkem cca 10 ks, vdy soustøedìné okolo rostliny nebo shluku rostlin krvavce, kterı je zde vzácnıdoporuèení: ovlivnit hospodaøení na obou stanovištích ve smyslu dohody s majiteli o diverzifikaci hospodaøení (kosení po menších èástech, ponechání nepokosenıch èástí v cca 1/4 rozlohy kadı rok) a termínech kosení pøed a po letovém období imag motıla, na stanovišti 2 doporuèit doplòkovou shlukovitou vısadbu rostlin krvavce v hustotì cca 1 rostlina na 1 m a vzdálenosti okrajù jednotlivıch shlukù minimálnì 5 - 6 m od sebe, rostliny v takovém pøípadì musí bıt napìstovány z místních zdrojù semendoporuèení: ihned zajistit cílené mozaikovité kosení kolonie ve vhodnou dobu, nejlépe zaèátkem èervna v plochách po dvou s èasovım rozdílem nejménì 3 tıdnù, a to hlavnì první seè, druhou seè odsunout na záøijovı termín, plocha s vıskytem krvavce pomìrnì dobøe ohranièená a nepøíliš velká, proto by zmìna managementu nemìla èinit zásadní problémy;NPR Novozámeckı rybník;krvavec toten - cca 1 rostlina na 2-3 m2 na stanovišti 1, na stanovišti 2 velmi vzácnı a jednotlivı, krom nìkolika shlukovitıch soustøedìní s více jedinci pouze max. 1 rostlina (ne více) na 10 x 10 m plochy, spíš pøítomny rozsáhlé plochy zcela bez krvavceStanovištì 1: velmi malı fragment louèky okrouhlého tvaru, která je ohranièena z pravé strany silnicí vedoucí od hráze Novozámeckého ryníka k osadì Karasy, z levé strany strmì stoupající strání smìrem od rybníka a z vıchodu oplocením záhumenku místních obyvatel, louèka je pravdìpodobnì pøíleitostnì kosenaStanovištì 2: navazuje na st.1, ale je od nìho oddìleno zmínìnou silnièkou a je poloeno dále k vıchodu pod obcí Karasy a pøechází v rozlehlé louky ohranièené rákosinovım porostem mokøadù v okolí rybníka, krvavec je zde vzácnı, soustøedìnı do nìkolika shlukù, velké louky jsou zøejmì pravidelnì, avšak jednorázovì koseny s vyuitím mechanizace, vzhledem k pozorovanému vıskytu motılù a krvavci ve správné fenologické fázi bylo kosení v roce 2006 provedenoi ve vhodnou dobu, úzká pásovitá èást pod obcí Karasy je krom toho zøejmì obèas a po malıch èástech (zøejmì denní dávky krmení králíkùm, apod.) nepravidelnì seèena obèany, co lze oznaèit za vhodnı management;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;Èermáková Eva;1;;;Garantováno;;SO;HD II, HD IV;VU;;;255;0;20070824
4484;3642988;Phengaris teleius;modrásek oèkovanı;Motıli;Darebník Jiøí;20060722;20060722;;971713;Lopeník;7072;Bánov;-518156;-1196767;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;3;0;jedinci;;;;;;0;;Lopeník ( CHKO Bílé Karpaty ) v roce 2006;suchá louka na svahu nad obcí Lopeník, ze všech stran ohranièená pøevánì lesem, jen ve spodní èásti silnice;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;555;0;20070823
4485;3642978;Phengaris teleius;modrásek oèkovanı;Motıli;Zámeèník Jaroslav;20060722;20060722;;981634;PP Na Plachtì;5861;Novı Hradec Králové;-639551;-1045137;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;18;0;jedinci;;;;;;0;14 samcù, 4 samice;lokalita PP Na Plachtì;kvìtnatá slatinná louka nad SZ bøehem rybníku Jáma, mozaikovité kosení;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;240;0;20070809
4486;3642975;Phengaris teleius;modrásek oèkovanı;Motıli;Menšík Miroslav;20060722;20060722;;978861;PR ítkov;7073;ítková;-507813;-1193151;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;18;0;jedinci;;;;;;0;7 samcù, 11 samic<BR>intenzivní pastva oba druhy bezprostøednì ohrouje;PR 'Pod ítkovskım vrchem' - CHKO Bílé Karpaty;v souèasnosti jako intenzivní pastvina dobytka, ve støední èásti lokality je prameništì, dostateèná vhlkost vyhovuje rùstu krvavce totenu, kterı se vyskytuje i na spasené ploše, proto se motıli objevují na pomìrnì velkém území, motıli hlavnì ve støední èásti, kolem polní cesty, která nebyla skotem spasena;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;558;0;20070809
4487;3642958;Phengaris teleius;modrásek oèkovanı;Motıli;Kopeèek František;20060721;20060721;;983611;PP U Petrùvky;6872;Petrùvka u Slavièína;-511810;-1179085;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;20;0;jedinci;;;;;;0;8 samcù, 12 samic;lokalita PP U Petrùvky;prostor závìru údolí potoka pod Petrùvkouplocha kolonie 120 x 150 m, rostliny krvavce totenu pouze jednotlivì,více v JJV èásti u lyaøského vleku;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;450;0;20070809
4488;3642925;Phengaris teleius;modrásek oèkovanı;Motıli;Hrouzek Martin;20060720;20060814;;979187;Hryzlacké Mlıny;7171;Nová Lhota u Veselí nad Moravou;-529568;-1202681;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;20;0;jedinci;;;;;;0;datum exkurze: 20.7. a 14.8. 2006<BR>Kolonie 1 - za ideálního poèasí pouhıch 12 ksKolonie 2 - v místì ohybu polní cesty zaznamenány jednotlivé kusy, louka zùstala a do srpna nepokosena a byla druhovì nejbohatším místem celého rozsáhlého komplexu lukdoporuèení: pokosit do 15.6., provádìt pouze jednu seè do roka, ovšem nikdy ne celá, ponechat neposeèené pruhy do další sezóny;Pøední louky u Hryzlackıch Mlınù (CHKO Bílé Karpaty);krvavec toten - ve všech koloniích roztroušenì a bìnì (prùmìrnì min. 1 rostlina na 5m2), celková poèetnost v celém komplexu luk nìkolik set tisícKolonie 1 (jednotlivì pøes 1000 ks), Kolonie 2 (jednotlivì pøes 100 ks);;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;Èermáková Eva;1;;;Garantováno;;SO;HD II, HD IV;VU;;;436;0;20070823
4489;3642893;Phengaris teleius;modrásek oèkovanı;Motıli;Janák R.;20060720;20060720;;980566;cesta k Mlıncùm;7452;Dolní Drkolná;-770081;-1208405;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;1;0;jedinci;;;;;;0;poèet nekvantifikován;Cesta k Mlıncùm;okraj silnice, mateøídouèka - hojná;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;584;0;20070824
4490;3642794;Phengaris teleius;modrásek oèkovanı;Motıli;Šnajdara Pavel;20060720;20060720;;984542;Velkı Oøechov;6871;Velkı Oøechov;-523132;-1177662;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;5;0;jedinci;;;;;;0;málo poèetná populace;lokalita Velkı Oøechov;vlhká a mezofilní louka (70 x 300 m ), z jedné strany lemovaná bøehovım porostem, z druhé strany mezofilními louami, celoplošnì seèena 1 x roènì koncem èervna rotaèní sekaèkourelativní poèetnost krvavce: ojedinìle;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;267;0;20070809
4491;3642793;Phengaris teleius;modrásek oèkovanı;Motıli;Šnajdara Pavel;20060720;20060720;;972622;Doubravy3;6871;Doubravy;-522032;-1174139;Kolektiv autorù (2006) Monitoring motılù v roce 2006.;0;15;0;jedinci;;;;;;0;;lokalita Doubravy;mezofilní kvìtnaté loukv a sady (50 x 100 m), koseny 1x roènì mozaikovitì kosou v èervnu a v èervencirelativní poèetnost krvavce: hojnì;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data z DB Janitor;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;330;0;20070809
