PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
270;61643250;Halictus semitectus;;Blanokøídlí;Marhoul Pavel;20090713;20090713;;10769740;Bzenec, vojenská støelnice;7069;Bzenec;-552517.54;-1192217.22;Daphne ÈR (2010) Opuštìné vojenské prostory jako refugia biodiverzity v souèasné krajinì (VaV/ SP/2d3/153/08).;0;9;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Chobot Karel: Import data TACR a VaV;Marhoul Pavel;0;;;;;;;CR;;;;295;20250212
271;61643249;Halictus leucaheneus;;Blanokøídlí;Marhoul Pavel;20090713;20090713;;10769740;Bzenec, vojenská støelnice;7069;Bzenec;-552517.54;-1192217.22;Daphne ÈR (2010) Opuštìné vojenské prostory jako refugia biodiverzity v souèasné krajinì (VaV/ SP/2d3/153/08).;0;1;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Chobot Karel: Import data TACR a VaV;Marhoul Pavel;0;;;;;;;NT;;;;295;20250212
272;61643221;Halictus confusus;;Blanokøídlí;Marhoul Pavel;20090711;20090711;;10769740;Bzenec, vojenská støelnice;7069;Bzenec;-552517.54;-1192217.22;Daphne ÈR (2010) Opuštìné vojenské prostory jako refugia biodiverzity v souèasné krajinì (VaV/ SP/2d3/153/08).;0;20;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Chobot Karel: Import data TACR a VaV;Marhoul Pavel;0;;;;;;;;;;;295;20250212
273;61643159;Halictus tumulorum;;Blanokøídlí;Marhoul Pavel;20090616;20090616;;10769740;Bzenec, vojenská støelnice;7069;Bzenec;-552517.54;-1192217.22;Daphne ÈR (2010) Opuštìné vojenské prostory jako refugia biodiverzity v souèasné krajinì (VaV/ SP/2d3/153/08).;0;10;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Chobot Karel: Import data TACR a VaV;Marhoul Pavel;0;;;;;;;;;;;295;20250212
274;61643158;Halictus semitectus;;Blanokøídlí;Marhoul Pavel;20090616;20090616;;10769740;Bzenec, vojenská støelnice;7069;Bzenec;-552517.54;-1192217.22;Daphne ÈR (2010) Opuštìné vojenské prostory jako refugia biodiverzity v souèasné krajinì (VaV/ SP/2d3/153/08).;0;13;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Chobot Karel: Import data TACR a VaV;Marhoul Pavel;0;;;;;;;CR;;;;295;20250212
275;61643157;Halictus rubicundus;;Blanokøídlí;Marhoul Pavel;20090616;20090616;;10769740;Bzenec, vojenská støelnice;7069;Bzenec;-552517.54;-1192217.22;Daphne ÈR (2010) Opuštìné vojenské prostory jako refugia biodiverzity v souèasné krajinì (VaV/ SP/2d3/153/08).;0;1;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Chobot Karel: Import data TACR a VaV;Marhoul Pavel;0;;;;;;;;;;;295;20250212
276;61643156;Halictus confusus;;Blanokøídlí;Marhoul Pavel;20090616;20090616;;10769740;Bzenec, vojenská støelnice;7069;Bzenec;-552517.54;-1192217.22;Daphne ÈR (2010) Opuštìné vojenské prostory jako refugia biodiverzity v souèasné krajinì (VaV/ SP/2d3/153/08).;0;15;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Chobot Karel: Import data TACR a VaV;Marhoul Pavel;0;;;;;;;;;;;295;20250212
277;61643029;Halictus tumulorum;;Blanokøídlí;Marhoul Pavel;20090517;20090517;;10769740;Bzenec, vojenská støelnice;7069;Bzenec;-552517.54;-1192217.22;Daphne ÈR (2010) Opuštìné vojenské prostory jako refugia biodiverzity v souèasné krajinì (VaV/ SP/2d3/153/08).;0;4;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Chobot Karel: Import data TACR a VaV;Marhoul Pavel;0;;;;;;;;;;;295;20250212
278;61643028;Halictus semitectus;;Blanokøídlí;Marhoul Pavel;20090517;20090517;;10769740;Bzenec, vojenská støelnice;7069;Bzenec;-552517.54;-1192217.22;Daphne ÈR (2010) Opuštìné vojenské prostory jako refugia biodiverzity v souèasné krajinì (VaV/ SP/2d3/153/08).;0;11;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Chobot Karel: Import data TACR a VaV;Marhoul Pavel;0;;;;;;;CR;;;;295;20250212
279;61643027;Halictus rubicundus;;Blanokøídlí;Marhoul Pavel;20090517;20090517;;10769740;Bzenec, vojenská støelnice;7069;Bzenec;-552517.54;-1192217.22;Daphne ÈR (2010) Opuštìné vojenské prostory jako refugia biodiverzity v souèasné krajinì (VaV/ SP/2d3/153/08).;0;1;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Chobot Karel: Import data TACR a VaV;Marhoul Pavel;0;;;;;;;;;;;295;20250212
