PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
3031;48017769;Andrena nigroaenea;;Blanokøídlí;Mokrejš Martin;20190501;20190501;;7180009;Nová Seninka - Hájeèek;5867;Nová Seninka;-564639;-1053328;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;královny;;;;0;Ve hnízdì. Dle J. Straky nitida a nebo nigroaenea. Podle mì hypoteticky Andrena nigroaenea, podobná jinım exempláøùm z tého dne a tée lokality. Je více hnìdì/rezavì zbarvená, nitida byla svìtle emlová. K tomu však Jakub Straka dále dodává: Ve tvaru hnízda se ty dva druhy nijak neliší. Hruï u nich èasem svìtlá, ale je fakt, e u nigroaenea je ze strany rezavá a u nitida bìlavá. Shora jsou obì stejné. Tvar vchodu do hnízda se mùe lišit mezi parazitovanımi a neparazitovanımi jedinci.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103;20200110;13837
3032;48017768;Andrena nitida;;Blanokøídlí;Mokrejš Martin;20190501;20190501;;7180008;Nová Seninka - Hájeèek;5867;Nová Seninka;-564657;-1053276;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;královny;;;;0;Ve hnízdì. Podle mì hypoteticky Andrena nitida, podobná jinım exempláøùm z tého dne a tée lokality, i podobnı, jasnì kruhovı vchod do hnízda. Nakonec, jsou ve vzdálenosti pár metrù od sebe. Jakub Straka komentuje: Je to moné, ale z fotky to nedokáu posoudit.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103;20200110;13837
3033;48017748;Andrena cineraria;;Blanokøídlí;Mokrejš Martin;20190501;20190501;;7180006;Støíbrnice - Hájeèek;5867;Støíbrnice;-564402;-1053548;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;mrtví jedinci;;;;0;mrtvá u hnízda;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103
3034;48017680;Andrena sp.;;Blanokøídlí;Mokrejš Martin;20190428;20190428;;7179998;Nová Seninka - Hájeèek;5867;Nová Seninka;-564641;-1053312;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;2;0;hnízda;;;;0;hnízdo, Andrena sp. je jen odhad;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103;20200103;13837
3035;48017679;Andrena nigroaenea;;Blanokøídlí;Mokrejš Martin;20190428;20190428;;7179997;Nová Seninka - Hájeèek;5867;Nová Seninka;-564647;-1053315;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;samice;;;;0;ve hnízdì;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103
3036;48017678;Andrena gravida;;Blanokøídlí;Mokrejš Martin;20190428;20190428;;7179996;Nová Seninka - Hájeèek;5867;Nová Seninka;-564656;-1053274;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;jedinci;;;;0;u hnízda;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103
3037;48017677;Andrena nitida;;Blanokøídlí;Mokrejš Martin;20190428;20190428;;7179995;Nová Seninka - Hájeèek;5867;Nová Seninka;-564659;-1053270;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;samice;;;;0;v dalším hnízdì, a opìt parazitovaná øasníkem Stylops melittae;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103
3038;48017676;Andrena nitida;;Blanokøídlí;Mokrejš Martin;20190428;20190428;;7179994;Nová Seninka - Hájeèek;5867;Nová Seninka;-564654;-1053283;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;samice;;;;0;ve hnízdì, a opìt parazitovaná øasníkem Stylops melittae;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103;20200103;13837
3039;48017675;Andrena gravida;;Blanokøídlí;Mokrejš Martin;20190428;20190428;;7179993;Nová Seninka - Hájeèek;5867;Nová Seninka;-564641;-1053312;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;jedinci;;;;0;GPSka nemìla pøesnı fix, pozice dle o pár minut pozdìjších nálezù z detailního prùzkumu této lokality;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;;;;;;;;;;;0;20200103
3040;48017604;Andrena sp.;;Blanokøídlí;Mokrejš Martin;20190425;20190425;;7179975;Støíbrnice - Hájeèek;5867;Støíbrnice;-564597;-1053385;MOKREJŠ M., PETØÍK P., HLISNIKOVSKİ D., STRAKA J., BENEŠ J., BOHÁÈ O., KREJÈÍK S., JANOŠÍK L. (2019) Prùzkumné mapování lokalit na úpatí Králického Snìníku a Vrbenskıch rozsoch. ÈSOP: Ochrana biodiverzity.;0;1;0;samci;;;;0;Andrena sp., samec, druh nelze urèit, pravdìpodobnì stejnı exempláø jako nález ID 48017580 o 15 minut pozdìji.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Mokrejš Martin;0;vìrohodnı záznam;;Návrh validace;;;;;;;;0;20200103
