PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
693;31507242;Osmia aurulenta;;Blanokøídlí;Halada Marek;19890501;19890831;;5180313;NPR Vyšenské kopce 522;7151;Kladné-Dobrkovice;-770953;-1181084;HALADA J., HALADA M. (1992) ahadloví blanokøídlí (Hymenoptera - Aculeata) SPR Vyšenské kopce u Èeského Krumlova. Sborník Jihoèeského muzea v Èeskıch Budìjovicích Pøírodní vìdy. 32. 59-68.;0;;0;jedinci;velmi hojnì;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;803;20130819
694;31506885;Osmia aurulenta;;Blanokøídlí;Pádr Zdenìk, Tyrner Pavel;19810412;19810412;;5168352;PR Píseènı vrch 1827;5548;Beèov u Mostu;-786178;-999051;PÁDR Z., TYRNER P. (1989) Hymenoptera Aculeata a Symphyta na Píseèném vrchu v Èeském støedohoøí. Sborník Okresního muzea v Mostì. Øada pøírodovìdná 11-12/1989-90. Okresní muzeum v Mostì. s. 19-48.;0;1;0;samice;;;;0;leg. Tyrner;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Štìdroò Jiøí;0;;;;;;;;;;;512;20130817
695;31506870;Osmia rufa;;Blanokøídlí;Pádr Zdenìk, Tyrner Pavel;19810531;19810531;;5168352;PR Píseènı vrch 1827;5548;Beèov u Mostu;-786178;-999051;PÁDR Z., TYRNER P. (1989) Hymenoptera Aculeata a Symphyta na Píseèném vrchu v Èeském støedohoøí. Sborník Okresního muzea v Mostì. Øada pøírodovìdná 11-12/1989-90. Okresní muzeum v Mostì. s. 19-48.;0;1;0;samice;;;;0;leg. Tyrner;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Štìdroò Jiøí;0;;;;;;;;;;;512;20130817
696;31506869;Osmia rufa;;Blanokøídlí;Pádr Zdenìk, Tyrner Pavel;19790621;19790621;;5168352;PR Píseènı vrch 1827;5548;Beèov u Mostu;-786178;-999051;PÁDR Z., TYRNER P. (1989) Hymenoptera Aculeata a Symphyta na Píseèném vrchu v Èeském støedohoøí. Sborník Okresního muzea v Mostì. Øada pøírodovìdná 11-12/1989-90. Okresní muzeum v Mostì. s. 19-48.;0;1;0;samice;;;;0;leg. Pádr;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Štìdroò Jiøí;0;;;;;;;;;;;512;20130817
697;31506868;Osmia niveata;zednice lesomilná;Blanokøídlí;Pádr Zdenìk, Tyrner Pavel;19780722;19780722;;5168352;PR Píseènı vrch 1827;5548;Beèov u Mostu;-786178;-999051;PÁDR Z., TYRNER P. (1989) Hymenoptera Aculeata a Symphyta na Píseèném vrchu v Èeském støedohoøí. Sborník Okresního muzea v Mostì. Øada pøírodovìdná 11-12/1989-90. Okresní muzeum v Mostì. s. 19-48.;0;1;0;samice;;;;0;leg. Pádr, na Echium;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Štìdroò Jiøí;0;;;;;;;CR;;;;512;20130817
698;31506867;Osmia cerinthidis;zednice voskovková;Blanokøídlí;Pádr Zdenìk, Tyrner Pavel;19800531;19800531;;5168352;PR Píseènı vrch 1827;5548;Beèov u Mostu;-786178;-999051;PÁDR Z., TYRNER P. (1989) Hymenoptera Aculeata a Symphyta na Píseèném vrchu v Èeském støedohoøí. Sborník Okresního muzea v Mostì. Øada pøírodovìdná 11-12/1989-90. Okresní muzeum v Mostì. s. 19-48.;0;1;0;samci;;;;0;leg. Tyrner, létá na voskovku Cerinthe minor;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Štìdroò Jiøí;0;;;;;;;CR;;;;512;20130817
699;31506866;Osmia caerulescens;;Blanokøídlí;Pádr Zdenìk, Tyrner Pavel;19780722;19780722;;5168352;PR Píseènı vrch 1827;5548;Beèov u Mostu;-786178;-999051;PÁDR Z., TYRNER P. (1989) Hymenoptera Aculeata a Symphyta na Píseèném vrchu v Èeském støedohoøí. Sborník Okresního muzea v Mostì. Øada pøírodovìdná 11-12/1989-90. Okresní muzeum v Mostì. s. 19-48.;0;1;0;samice;;;;0;leg. Pádr;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Štìdroò Jiøí;0;;;;;;;;;;;512;20130817
700;31432871;Osmia parietina;zednice zední;Blanokøídlí;Straka Jakub;20060609;20060609;;5180313;NPR Vyšenské kopce 522;7151;Kladné-Dobrkovice;-770953;-1181084;DVOØÁK L., STRAKA J., SMETANA V. et al. (2007) ahadloví blanokøídlí (Hymenoptera: Chrysidoidea, Vespoidea, Apoidea) Národní pøírodní rezevace Vyšenské kopce (jiní Èechy). Klapalekiana. 43, 3-4. s. 163-185.;0;1;0;samice;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;VU;;;;803;20130719
701;31432869;Osmia bicolor;;Blanokøídlí;Karas Zdenìk;20060609;20060609;;5180313;NPR Vyšenské kopce 522;7151;Kladné-Dobrkovice;-770953;-1181084;DVOØÁK L., STRAKA J., SMETANA V. et al. (2007) ahadloví blanokøídlí (Hymenoptera: Chrysidoidea, Vespoidea, Apoidea) Národní pøírodní rezevace Vyšenské kopce (jiní Èechy). Klapalekiana. 43, 3-4. s. 163-185.;0;7;0;samci;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;803;20130719
702;31432868;Osmia bicolor;;Blanokøídlí;Erhart Jan;20060501;20060609;;5180313;NPR Vyšenské kopce 522;7151;Kladné-Dobrkovice;-770953;-1181084;DVOØÁK L., STRAKA J., SMETANA V. et al. (2007) ahadloví blanokøídlí (Hymenoptera: Chrysidoidea, Vespoidea, Apoidea) Národní pøírodní rezevace Vyšenské kopce (jiní Èechy). Klapalekiana. 43, 3-4. s. 163-185.;0;5;0;samci;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;803;20130719
