PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1360;46307079;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Moravec Pavel;20181025;20181025;;6832216;Chvalín;5551;Chvalín;-753309.07;-1001978.98;Moravec P. (2019) Monitoring páchníka hnìdého.;0;4;0;larvy;;;;0;adultní larvy pod kùrou zlomeného topolu;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20181227
1361;46084024;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Køíová Lenka;20180504;20180504;;6822261;PR Údolí Øíèky;6766;Ochoz u Brna;-587909.07;-1156376.71;KØÍOVÁ L., KØIVAN V. (2018) Inventarizaèní prùzkum - PR Údolí Øíèky. Saproxylickı hmyz a epigeiètí predátoøi: Závìreèná zpráva. Brno. Manuskript. 20 s. Archivuje Ústøední seznam ochrany pøírody, AOPK ÈR, Praha.;0;;0;;hojnì;;;0;;;;;OP MapInv: Inventarizace MZCHÚ;Nálezová data ochrany pøírody;Køivan Václav;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20181206
1362;45748646;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Køivan Vaclav;20180510;20180510;;6696037;PR Velkı Hornek;6766;Líšeò;-589913.35;-1157604.88;KØIVAN V. (2018) Inventarizaèní prùzkum - PR Velkı Hornek. Saproxylickı hmyz a epigeiètí predátoøi: Závìreèná zpráva. Štìmìchy. Manuskript. 18 s. Archivuje Ústøední seznam ochrany pøírody, AOPK ÈR, Praha.;0;;0;;hojnì;;;0;;;;;OP MapInv: Inventarizace MZCHÚ;Nálezová data ochrany pøírody;Køivan Václav;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20181202
1363;45710945;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Sabol Ondøej;20180422;20180422;;6690397;Chorynì env., EVL Choryòskı mokøad;6473;Hustopeèe nad Beèvou;-501318.86;-1133880.74;Sabol Ondøej (2018) Mapování broukù na lesních pozemcích EVL Choryòskı mokøad. 21 + 3 pøílohy.;0;3;0;imaga;;;;0;;les;;;Sbìr floristickıch a faunistickıch nálezù;Data z entomologického prùzkumu;Bárdyová Mária;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;1;20181116
1364;45636225;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Køivan Václav;20181016;20181016;;6672071;Vranovice - Šatava;7065;Vranovice nad Svratkou;-600514.81;-1186187.26;KØIVAN V. (2018) Terénní zápisky - náhodná pozorování.;0;;0;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Køivan Václav;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;5;20181018;20181016;2136
1365;45626662;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Maèát Zdenìk, Reiter Antonín;20170517;20170517;;6669007;Drnholec, Drnholeckı luh - støedová cesta;7164;Drnholec;-611745.18;-1199007.96;Reiter A. & Maèát Z. (2017) Inventarizaèní prùzkum EVL Drnholeckı luh - obojivelníci, vodní bezobratlí.;0;1;0;imaga;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Maèát Zdenìk;0;;;;;SO;HD II, HD IV;VU;;;;0;20181004
1366;45546619;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Szopa Richard;20140510;20140510;;6655937;NPP Rendez-vous;7266;Valtice;-590192.63;-1211547.4;Szopa Richard (2015) Vlastní nálezy.;0;1;0;jedinci;;;;0;smıkáním rùzné vegetace;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;339;20180905
1367;45546453;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Szopa Richard;20140523;20140523;;6655935;NPR Mionší;6477;Dolní Lomná;-446157.41;-1137518.5;Szopa Richard (2015) Vlastní nálezy.;0;3;0;jedinci;;;;0;na kmenech stromù;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;1058;20180905
1368;45545355;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Szopa Richard;20080331;20080331;;6655915;KÚ: Niní Lhoty;6376;Niní Lhoty;-460191.75;-1122818.97;Szopa Richard (2015) Vlastní nálezy.;0;1;0;jedinci;;;;0;pod kùrou jilmu (Ulmus sp.);;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;1472;20180905
1369;45526141;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171126;20171126;;6651077;KÚ: Novosedly na Moravì;7165;Novosedly na Moravì;-608460.53;-1201324.69;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;1;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1370;45526140;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171126;20171126;;6651076;KÚ: Novosedly na Moravì;7165;Novosedly na Moravì;-608626.86;-1201213.31;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;1;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1371;45526139;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171126;20171126;;6651075;KÚ: Novosedly na Moravì;7165;Novosedly na Moravì;-608454.49;-1201269.42;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;4;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
1372;45526138;Cucujus cinnaberinus;lesák rumìlkovı;Brouci;Vlk Robert;20171125;20171125;;6651074;KÚ: Nová Ves u Pohoøelic;7065;Nová Ves u Pohoøelic;-604734.33;-1190507.66;VLK ROBERT (2017) Monitoring Cucujus cinnaberinus.;0;1;0;larvy;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Hejda Radek: Import nálezù;Bárdyová Mária;0;;;;;SO;HD II, HD IV;VU;;;;1;20180822
