DRUH;celkem_sitmap_0;sitmap_0_plne_inat;procento_0_plne_inat;celkem_1_sitmap;sitmap_1_plne_inat;procento_1_plne_inat;REDLIST
Sapyga clavicornis;2;0;0,00000000000000;2;0;0,00000000000000;VU
Sapyga similis;1;0;0,00000000000000;1;0;0,00000000000000;VU
Sciapteryx costalis;2;0;0,00000000000000;2;0;0,00000000000000;VU
Smicromyrme sicana;1;0;0,00000000000000;2;0;0,00000000000000;EN
Sphecodes cristatus;1;0;0,00000000000000;1;0;0,00000000000000;EN
Sphecodes intermedius;1;0;0,00000000000000;1;0;0,00000000000000;CR
Sphecodes majalis;1;0;0,00000000000000;1;0;0,00000000000000;VU
Sphecodes nomioidis;1;0;0,00000000000000;1;0;0,00000000000000;EN
Sphecodes pellucidus;8;0;0,00000000000000;8;0;0,00000000000000;VU
Sphecodes pseudofasciatus;1;0;0,00000000000000;1;0;0,00000000000000;VU
Sphecodes rubicundus;7;0;0,00000000000000;7;0;0,00000000000000;EN
Sphecodes spinulosus;1;0;0,00000000000000;1;0;0,00000000000000;VU
Spinolia unicolor;2;0;0,00000000000000;2;0;0,00000000000000;EN
Stelis minima;2;0;0,00000000000000;2;0;0,00000000000000;EN
Stelis phaeoptera;1;0;0,00000000000000;1;0;0,00000000000000;EN
Stenodynerus chevrieranus;8;0;0,00000000000000;8;0;0,00000000000000;VU
Stenodynerus xanthomelas;3;0;0,00000000000000;3;0;0,00000000000000;EN
Strongylogaster macula;1;0;0,00000000000000;1;0;0,00000000000000;VU
Symmorphus connexus;1;0;0,00000000000000;1;0;0,00000000000000;EN
Systropha curvicornis;5;0;0,00000000000000;5;0;0,00000000000000;VU
Systropha planidens;2;0;0,00000000000000;3;0;0,00000000000000;EN
Tachyagetes filicornis;1;0;0,00000000000000;1;0;0,00000000000000;VU
Tachysphex austriacus;1;0;0,00000000000000;1;0;0,00000000000000;CR
Tachysphex nitidus;2;0;0,00000000000000;3;0;0,00000000000000;EN
Tachysphex tarsinus;2;0;0,00000000000000;2;0;0,00000000000000;VU
Tachytes panzeri;4;0;0,00000000000000;4;0;0,00000000000000;VU
Tenthredo distinguenda;2;0;0,00000000000000;2;0;0,00000000000000;VU
Tenthredo omissa;1;0;0,00000000000000;1;0;0,00000000000000;EN
Tenthredo vespiformis;2;0;0,00000000000000;2;0;0,00000000000000;VU
Thyreus orbatus;1;0;0,00000000000000;1;0;0,00000000000000;EN
Tiphia minuta;7;0;0,00000000000000;7;0;0,00000000000000;EN
Tiphia unicolor;2;0;0,00000000000000;2;0;0,00000000000000;EN
Tracheliodes curvitarsis;3;0;0,00000000000000;3;0;0,00000000000000;VU
Tracheliodes varus;1;0;0,00000000000000;1;0;0,00000000000000;VU
Vespula austriaca;2;0;0,00000000000000;3;0;0,00000000000000;VU
